displayLink;first;drug;count;label;ratio;label_count
www.medicalmarijuanasupliez.com;purchase;cocaine;54;1;1.0;54
buycokeonline.com;buy;crack;49;1;1.0;49
home-supplies.info;purchase;crack;43;1;1.0;43
bestsyrupshop.com;purchase;crack;40;1;1.0;40
seasidebathsalt.com;purchase;cocaine;23;1;1.0;23
bestmedsstore.com;purchase;cocaine;22;1;1.0;22
researchchemicalintermediates.wholesale.wneducation.com;cheap;mdma;18;1;1.0;18
buycocaineonlineusa.com;buy;cocaine;18;1;1.0;18
www.neropharma.com;cheap;cocaine;17;1;1.0;17
www.midlandpharmacyusa.com;purchase;ecstasy;17;1;1.0;17
cureonlinepharmacy.com;buy;ecstasy;15;1;1.0;15
seller-research-chemicals.com;purchase;cocaine;15;1;1.0;15
www.glushkodrugs.com;get;mdma;15;1;1.0;15
buyrx-online.com;get;ecstasy;14;1;1.0;14
www.cheapweedsonline.com;purchase;cocain;14;1;1.0;14
researchchemicalsupply.com;buy;molly;14;1;1.0;14
legitdrugstore.com;purchase;mdma;13;1;1.0;13
bestmjstrainsonline.com;purchase;mdma;13;1;1.0;13
buycocaineonline4sale.com;cheap;cocaine;11;1;1.0;11
www.balliadaily.com;buy;molly;11;1;1.0;11
benzolabs.com;purchase;meth;11;1;1.0;11
usrearchchemsupplies.com;purchase;meth;10;1;1.0;10
www.transfermarkt.de;purchase;molly;10;1;1.0;10
rc-chemstore.com;purchase;crystal;10;1;1.0;10
www.chemicaldrugstore.com;purchase;mdma;10;1;1.0;10
www.omegachemicalsonline.com;purchase;meth;10;1;1.0;10
www.researchchemicalsbkmdma.com;purchase;mdma;10;1;1.0;10
www.researchchemlab.com;buy;meth;10;1;1.0;10
chemicals4.blogspot.com;get;meth;10;1;1.0;10
worldwide-globalchemicals.com;purchase;cocaine;10;1;1.0;10
pukkaresearchchem.co;cheap;meth;10;1;1.0;10
www.chemicalconsultingnetwork.com;purchase;cocaine;10;1;1.0;10
buyingmdmaonline.com;buy;mdma;9;1;1.0;9
pureresearchchemicalsonline.wordpress.com;purchase;cocain;9;1;1.0;9
highclub.ca;cheap;crack;9;1;1.0;9
pillsorder.online;cheap;mdma;8;1;1.0;8
www.123rchemicals.com;buy;mdma;8;1;1.0;8
blazepharmameds.com;get;mdma;8;1;1.0;8
buycannabisonline.biz;cheap;crack;8;1;1.0;8
www.panjo.com;purchase;cocain;8;1;1.0;8
www.mcafeesecure.com;buy;meth;8;1;1.0;8
www.mollyresearchchemicals.com;buy;molly;8;1;1.0;8
bitcoin-drugs.com;purchase;mdma;8;1;1.0;8
researchchemicalsbkmdma.buy.chinalane.org;cheap;mdma;7;1;1.0;7
darlabulkmeds.com;purchase;cocaine;7;1;1.0;7
goodmanchems.org;purchase;mdma;7;1;1.0;7
buymethadonecialispercocetvaliumdiazepamoxycontin.wordpress.com;cheap;mdma;7;1;1.0;7
silkroadpharmacy.net;buy;molly;7;1;1.0;7
researchchemicalsbkmdma.buy.peerflix.com;get;mdma;6;1;1.0;6
www.purechemshop.com;get;ecstasy;6;1;1.0;6
www.dryspringspharmacy.net;purchase;ecstasy;6;1;1.0;6
www.rcchemicallab.com;purchase;meth;6;1;1.0;6
www.nacsupply.com;purchase;crack;6;1;1.0;6
buychems.com;cheap;ecstasy;6;1;1.0;6
www.freemindedvendor.com;buy;crack;6;1;1.0;6
czugo.cz;cheap;ecstasy;6;1;1.0;6
adzee.com;purchase;cocaine;6;1;1.0;6
standardpharme.com;buy;meth;6;1;1.0;6
www.formulatv.com;buy;cocaine;5;1;1.0;5
am698.wordpress.com;purchase;meth;5;1;1.0;5
www.versandapo.de;swiss;ecstasy;5;1;1.0;5
salem.hellodiem.com;buy;crack;5;1;1.0;5
mdmaonlineshop.blogspot.com;purchase;mdma;5;1;1.0;5
glongoo.com;purchase;meth;5;1;1.0;5
clubhipicoarbayun.com;purchase;meth;5;1;1.0;5
www.achapharmaceuticals.com;buy;ecstasy;5;1;1.0;5
www.diamondmedications.com;cheap;ecstasy;5;1;1.0;5
www.best-reviewer.com;buy;crack;5;1;1.0;5
